4	10016.694490818 10008.520595022 10024.868386614 0 0 0 5.962500000 5.823588674 6.101411326 108116.000000000 108112.799333354 108119.200666646
14	10016.694490818 10012.325522556 10021.063459080 0 0 0 7.672500000 7.580088548 7.764911452 108309.000000000 107881.062676864 108736.937323136
24	10014.890064013 10011.803581216 10017.976546810 0 0 0 9.682500000 9.592190993 9.772809007 107007.000000000 107005.040000000 107008.960000000
34	10013.656907054 10011.228551849 10016.085262259 0 0 0 11.607500000 11.481647242 11.733352758 108809.000000000 108805.246885696 108812.753114304
44	10012.151591098 10010.226446268 10014.076735928 0 0 0 13.372500000 13.306337299 13.438662701 106972.000000000 106972.000000000 106972.000000000
54	10011.574647189 10009.911314642 10013.237979736 0 0 0 15.327500000 15.218848094 15.436151906 108880.000000000 108876.799333354 108883.200666646
64	10011.596019744 10010.087254796 10013.104784692 0 0 0 17.177500000 17.032721791 17.322278209 107052.000000000 107042.398000209 107061.601999791
74	10010.934393638 10009.596673765 10012.272113511 0 0 0 18.897500000 18.525497371 19.269502629 107030.000000000 107018.240000000 107041.760000000
84	10010.390747855 10009.188445020 10011.593050690 0 0 0 21.042500000 20.686414604 21.398585396 107466.000000000 106586.529850422 108345.470149578
94	10009.962817342 10008.867543087 10011.058091597 0 0 0 22.820000000 22.414591400 23.225408600 106988.000000000 106974.420721670 107001.579278330
104	10009.553064539 10008.547528166 10010.558600912 0 0 0 24.742500000 24.684044007 24.800955993 107426.000000000 106530.839868628 108321.160131372
114	10009.126925898 10008.199626186 10010.054225610 0 0 0 26.565000000 26.106419684 27.023580316 108762.000000000 108748.233412442 108775.766587558
124	10008.932426597 10008.063498270 10009.801354924 0 0 0 28.197500000 27.963339465 28.431660535 106931.000000000 106921.200000000 106940.800000000
134	10008.817505120 10007.996284855 10009.638725385 0 0 0 29.887500000 29.649273309 30.125726691 106945.000000000 106943.040000000 106946.960000000
144	10008.579200669 10007.805379927 10009.353021411 0 0 0 31.735000000 31.547259009 31.922740991 106925.000000000 106921.246885696 106928.753114304
154	10008.502402852 10007.764392686 10009.240413018 0 0 0 33.750000000 33.532625485 33.967374515 106872.000000000 106872.000000000 106872.000000000
164	10008.270876304 10007.571455120 10008.970297488 0 0 0 35.295000000 35.164866481 35.425133519 106847.000000000 106845.040000000 106848.960000000
174	10008.085942012 10007.419872481 10008.752011543 0 0 0 37.257500000 37.020485831 37.494514169 106861.000000000 106859.040000000 106862.960000000
184	10008.029861616 10007.389152145 10008.670571087 0 0 0 38.910000000 38.567233880 39.252766120 106836.000000000 106836.000000000 106836.000000000
194	10007.824036892 10007.212528532 10008.435545252 0 0 0 41.082500000 40.691696201 41.473303799 107268.000000000 106382.080000000 108153.920000000
204	10007.638854664 10007.053673906 10008.224035422 0 0 0 43.082500000 42.307602531 43.857397469 106787.000000000 106771.525513483 106802.474486517
214	10007.659054600 10007.090269492 10008.227839708 0 0 0 45.475000000 44.612247607 46.337752393 106761.000000000 106747.280000000 106774.720000000
224	10007.512608311 10006.965402169 10008.059814453 0 0 0 47.052500000 46.196307477 47.908692523 106742.000000000 106732.668533504 106751.331466496
234	10007.335191008 10006.809463306 10007.860918710 0 0 0 49.527500000 48.612143802 50.442856198 106716.000000000 106699.996667005 106732.003332995
244	10007.297614875 10006.786695123 10007.808534627 0 0 0 51.612500000 50.597316492 52.627683508 106692.000000000 106680.459832455 106703.540167545
254	10007.262212069 10006.765074854 10007.759349284 0 0 0 53.562500000 52.216854368 54.908145632 106673.000000000 106658.202324508 106687.797675492
264	10007.140225387 10006.659291360 10007.621159414 0 0 0 55.370000000 54.197407579 56.542592421 108013.000000000 107128.970468367 108897.029531633
274	10007.125541761 10006.655928586 10007.595154936 0 0 0 56.570000000 55.216440476 57.923559524 106667.000000000 106654.449876496 106679.550123504
284	10007.040672880 10006.584314427 10007.497031333 0 0 0 59.317500000 57.615054956 61.019945044 106640.000000000 106626.420721670 106653.579278330
294	10007.020588017 10006.574379179 10007.466796855 0 0 0 61.517500000 59.715323433 63.319676567 108426.000000000 108410.157508625 108441.842491375
304	10006.989262152 10006.553095625 10007.425428679 0 0 0 62.970000000 61.744229180 64.195770820 106560.000000000 106546.420721670 106573.579278330
