394.736842105 14465.777188188 14445.164046882 14486.390329494 1750.587827620 1693.887521453 1807.288133787 26.000000000 26.000000000 26.000000000 108921.000000000 108913.579559784 108928.420440216 76
491.803278688 14466.466829965 14449.836492361 14483.097167569 725.030080169 700.996548894 749.063611444 30.750000000 30.260000000 31.240000000 108923.000000000 108910.864871942 108935.135128058 61
588.235294117 14542.720704764 14528.555725096 14556.885684432 721.274003177 696.632837062 745.915169292 35.500000000 34.934197020 36.065802980 108927.000000000 108909.360000000 108944.640000000 51
697.674418604 14421.001175440 14408.581820546 14433.420530334 1555.414849927 1505.030845164 1605.798854690 40.500000000 39.934197020 41.065802980 108928.000000000 108914.420721670 108941.579278330 43
789.473684210 14209.375973427 14198.361266176 14220.390680678 1170.944093693 1129.438142444 1212.450044942 44.250000000 43.311721265 45.188278735 108941.000000000 108931.200000000 108950.800000000 38
882.352941176 14184.354192159 14174.357858519 14194.350525799 1745.545817758 1688.120957757 1802.970677759 48.500000000 47.934197020 49.065802980 108931.000000000 108919.740657213 108942.259342787 34
967.741935483 14471.887111353 14462.680404247 14481.093818459 734.283107475 704.484085855 764.082129095 52.750000000 52.260000000 53.240000000 108922.000000000 108910.240000000 108933.760000000 31
1071.428571428 14396.666350144 14387.990024406 14405.342675882 1181.737733233 1141.106938597 1222.368527869 57.750000000 56.516860507 58.983139493 108921.000000000 108911.200000000 108930.800000000 28
1153.846153846 14192.061204780 14183.315615355 14200.806794205 2115.562417153 2042.682478207 2188.442356099 61.000000000 61.000000000 61.000000000 108917.000000000 108915.040000000 108918.960000000 26
1250.000000000 13445.351219887 13437.001723663 13453.700716111 1818.528878370 1755.788392035 1881.269364705 62.750000000 62.260000000 63.240000000 108916.000000000 108916.000000000 108916.000000000 24
1363.636363636 12880.688729161 12872.836240518 12888.541217804 1979.645631395 1908.400540853 2050.890721937 65.250000000 64.760000000 65.740000000 108922.000000000 108910.240000000 108933.760000000 22
1428.571428571 12733.682078552 12726.193263782 12741.170893322 2119.741712580 2042.675759111 2196.807666049 67.250000000 65.780000000 68.720000000 108922.000000000 108910.240000000 108933.760000000 21
1578.947368421 12385.476098448 12377.859086832 12393.093110064 1846.486337129 1775.411054673 1917.561619585 72.000000000 70.614070710 73.385929290 108930.000000000 108918.240000000 108941.760000000 19
1666.666666666 12604.535788955 12596.714423912 12612.357153998 1976.521243653 1878.200370518 2074.842116788 76.500000000 75.520000000 77.480000000 108923.000000000 108914.307965314 108931.692034686 18
1764.705882352 11737.960164059 11732.243130787 11743.677197331 520.780190903 381.689258698 659.871123108 76.500000000 75.520000000 77.480000000 108923.000000000 108910.864871942 108935.135128058 17
1875.000000000 11677.838081036 11672.651898615 11683.024263457 49.716664395 47.789173340 51.644155450 80.000000000 80.000000000 80.000000000 108918.000000000 108912.939301730 108923.060698270 16
2000.000000000 11546.453467583 11541.746195689 11551.160739477 62.883151112 56.614651212 69.151651012 85.000000000 85.000000000 85.000000000 108923.000000000 108910.864871942 108935.135128058 15
2142.857142857 11579.465637046 11575.048809753 11583.882464339 96.245323096 83.523035672 108.967610520 91.000000000 91.000000000 91.000000000 108925.000000000 108906.509396982 108943.490603018 14
2307.692307692 11613.070537586 11608.891591801 11617.249483371 54.500143395 51.051584771 57.948702019 97.500000000 94.560000000 100.440000000 108922.000000000 108908.998830823 108935.001169177 13
2500.000000000 11855.247443046 11850.864024868 11859.630861224 71.253920483 61.275048094 81.232792872 99.000000000 99.000000000 99.000000000 108913.000000000 108901.740657213 108924.259342787 12
2727.272727272 16731.040960807 16724.365952708 16737.715968906 128.545997314 108.300412736 148.791581892 99.000000000 99.000000000 99.000000000 108922.000000000 108909.812224692 108934.187775308 11
