4 10683.535162771 10674.135810985 10692.934514557 45.535711150 31.314059831 59.757362469 17.250000000 16.760000000 17.740000000 108989.000000000 108975.280000000 109002.720000000
24 13001.068972125 12971.012806043 13031.125138207 109.453352690 101.697105609 117.209599771 20.000000000 20.000000000 20.000000000 108950.000000000 108941.839869303 108958.160130697
44 17831.011711818 17813.163243874 17848.860179762 171.123661538 160.357451248 181.889871828 25.250000000 24.311721265 26.188278735 108917.000000000 108896.412223700 108937.587776300
64 21633.280913614 21616.299753926 21650.262073302 336.606624276 305.828982860 367.384265692 28.750000000 27.516860507 29.983139493 108857.000000000 108810.028104861 108903.971895139
84 25004.561711415 24990.350759936 25018.772662894 268.286416564 239.067546600 297.505286528 32.250000000 31.311721265 33.188278735 108799.000000000 108787.740657213 108810.259342787
104 27443.333565043 27427.532855545 27459.134274541 91.226632340 82.541687345 99.911577335 34.750000000 34.260000000 35.240000000 108751.000000000 108742.918712975 108759.081287025
124 28970.663587122 28961.198145981 28980.129028263 118.560941701 106.952297477 130.169585925 36.500000000 35.934197020 37.065802980 108698.000000000 108692.939301730 108703.060698270
144 29391.579774945 29378.834846207 29404.324703683 148.583788123 129.080535727 168.087040519 36.750000000 35.280000000 38.220000000 108674.000000000 108660.233412442 108687.766587558
164 30943.914212213 30929.932293553 30957.896130873 87.613404733 77.651271396 97.575538070 38.500000000 36.802590210 40.197409790 108657.000000000 108645.740657213 108668.259342787
184 32557.297241862 32542.183397888 32572.411085836 167.000988835 147.189938141 186.812039529 40.250000000 38.229678245 42.270321755 108612.000000000 108557.588667845 108666.411332155
204 35930.476989757 35916.062912248 35944.891067266 95.244143853 82.199089686 108.289198020 43.750000000 43.260000000 44.240000000 108523.000000000 108514.307965314 108531.692034686
224 37481.112009910 37463.791767764 37498.432252056 124.224436747 107.427329131 141.021544363 45.000000000 45.000000000 45.000000000 108473.000000000 108471.040000000 108474.960000000
244 39432.265008960 39412.096058815 39452.433959105 107.923706368 94.749521281 121.097891455 47.250000000 46.760000000 47.740000000 108437.000000000 108428.307965314 108445.692034686
264 41394.771273894 41372.661043759 41416.881504029 67.847858316 59.554836015 76.140880617 49.000000000 48.199833151 49.800166849 108399.000000000 108386.449876496 108411.550123504
284 41777.365442054 41751.950270337 41802.780613771 70.363250437 61.757777110 78.968723764 49.500000000 47.802590210 51.197409790 108393.000000000 108381.740657213 108404.259342787
304 43208.127029672 43178.904122195 43237.349937149 102.936372474 88.003740515 117.869004433 51.250000000 49.229678245 53.270321755 108348.000000000 108291.193803156 108404.806196844
324 45409.479171494 45379.481114277 45439.477228711 48.436435005 42.416896979 54.455973031 53.250000000 51.076991261 55.423008739 108284.000000000 108238.849041351 108329.150958649
344 48621.877066648 48588.318120760 48655.436012536 42.905987038 37.598974076 48.213000000 56.500000000 55.934197020 57.065802980 108717.000000000 107719.360000000 109714.640000000
364 49663.476881768 49623.940035831 49703.013727705 40.994238948 35.826661340 46.161816556 57.750000000 55.300000000 60.200000000 108177.000000000 108167.200000000 108186.800000000
384 52412.054496768 52371.370216903 52452.738776633 61.460866372 53.641763793 69.279968951 60.500000000 59.934197020 61.065802980 108153.000000000 108151.040000000 108154.960000000
404 53835.715321570 53783.657355692 53887.773287448 47.660554068 37.061908018 58.259200118 61.750000000 60.516860507 62.983139493 108126.000000000 108111.508365622 108140.491634378
424 55296.711602185 55234.596131302 55358.827073068 68.424805996 51.084888111 85.764723881 63.250000000 61.076991261 65.423008739 108127.000000000 108115.740657213 108138.259342787
444 55297.754180992 55212.449100733 55383.059261251 44.089696635 38.464571247 49.714822023 63.250000000 59.550581128 66.949418872 106247.000000000 106234.449876496 106259.550123504
464 61785.616688849 61644.171363931 61927.062013767 42.633552485 36.889628472 48.377476498 69.000000000 69.000000000 69.000000000 106707.000000000 105783.734584929 107630.265415071
484 65523.936755901 65183.929659941 65863.943851861 40.590748934 35.552020719 45.629477149 69.750000000 65.965034085 73.534965915 107148.000000000 106122.722020394 108173.277979606
504 68409.042342604 68060.240945459 68757.843739749 36.264121715 31.739465872 40.788777558 71.750000000 67.340000000 76.160000000 107550.000000000 106665.384736586 108434.615263414
524 76560.201515233 76093.069832680 77027.333197786 37.443148211 32.692561869 42.193734553 76.250000000 75.760000000 76.740000000 106163.000000000 106161.040000000 106164.960000000
544 1183281.915623986 1177606.323630635 1188957.507617337 403.416932002 299.100424340 507.733439664 93.500000000 82.720000000 104.280000000 107000.000000000 105961.182742283 108038.817257717
550 856720.431611893 851125.818260950 862315.044962836 417.363774433 247.005861248 587.721687618 87.000000000 72.843606852 101.156393148 107919.000000000 107910.307965314 107927.692034686
552 357755.759033620 353955.527698665 361555.990368575 276.633047139 144.850408445 408.415685833 81.250000000 68.844190878 93.655809122 107457.000000000 106567.759570570 108346.240429430
554 487076.153769469 482661.489332256 491490.818206682 279.465452304 118.609079640 440.321824968 84.500000000 75.015408972 93.984591028 106998.000000000 105975.025195488 108020.974804512
556 226802.108994897 225069.973533670 228534.244456124 55.143117533 47.674816323 62.611418743 79.750000000 66.351687906 93.148312094 107455.000000000 106561.776725487 108348.223274513
558 1880674.630138548 1880287.371652194 1881061.888624902 759.186726792 531.538217095 986.835236489 99.000000000 99.000000000 99.000000000 107890.000000000 107883.210360835 107896.789639165
560 1876901.706526381 1876504.333430877 1877299.079621885 635.912071328 453.403375449 818.420767207 99.000000000 99.000000000 99.000000000 107880.000000000 107880.000000000 107880.000000000
