1 334607.343220338 334394.489752814 334820.196687862 868.331448625 203.916934435 1532.745962815 1.000000000 1.000000000 1.000000000 19238.000000000 17608.859129971 20867.140870029	0 0 0
10 647677.568519304 639612.558249652 655742.578788956 1953.109067090 1629.320203032 2276.897931148 1.000000000 1.000000000 1.000000000 19432.000000000 18438.818147032 20425.181852968	1.666670000 1.666670000 1.666670000
19 1072267.923252775 1063063.861111086 1081471.985394464 8429.157021187 7289.983370286 9568.330672088 2.000000000 2.000000000 2.000000000 22494.000000000 21445.731603835 23542.268396165	1.666670000 1.666670000 1.666670000
28 1225895.169559412 1209281.802685465 1242508.536433359 61802.675460086 42232.299973587 81373.050946585 2.000000000 2.000000000 2.000000000 25352.000000000 24501.248609445 26202.751390555	15.833335000 -5.896732274 37.563402274
37 1198333.518048780 1189900.650416901 1206766.385680659 5259.499047559 4395.279541640 6123.718553478 2.000000000 2.000000000 2.000000000 26070.000000000 25989.759601199 26150.240398801	24.374985000 -1.341350844 50.091320844
46 1252364.718172983 1244549.305200311 1260180.131145655 5670.548276021 4670.524822461 6670.571729581 3.000000000 3.000000000 3.000000000 26961.000000000 26076.709773435 27845.290226565	12.291677500 -8.533337210 33.116692210
55 1293322.502263906 1286086.388499751 1300558.616028061 4481.612009812 3656.668557649 5306.555461975 3.000000000 3.000000000 3.000000000 28477.000000000 26772.918167381 30181.081832619	12.291677500 -8.533337210 33.116692210
64 1336626.590614886 1330144.249932419 1343108.931297353 4557.705304750 3751.294440207 5364.116169293 4.000000000 4.000000000 4.000000000 30345.000000000 28499.307431451 32190.692568549	22.916660000 -1.166918878 47.000238878
73 1371070.511793214 1365303.781450376 1376837.242136052 4739.736561979 3891.231390693 5588.241733265 4.000000000 4.000000000 4.000000000 29909.000000000 28418.817701533 31399.182298467	35.117197500 14.249572086 55.984822914
82 1403669.102481469 1398658.384225869 1408679.820737069 4610.928745219 3745.536671777 5476.320818661 4.500000000 3.934197020 5.065802980 29399.000000000 27528.834388938 31269.165611062	25.504670000 .326871572 50.682468428
91 1427756.563063063 1423344.910168840 1432168.215957286 4541.147701048 3699.884907519 5382.410494577 5.000000000 5.000000000 5.000000000 31789.000000000 30733.636912528 32844.363087472	34.707360000 13.059109715 56.355610285
100 1447142.524590163 1443189.908215239 1451095.140965087 4675.740449183 3819.430450101 5532.050448265 5.000000000 5.000000000 5.000000000 31258.000000000 29780.544771576 32735.455228424	33.987635000 12.697204176 55.278065824
109 1462435.178090967 1458786.600435271 1466083.755746663 4604.644739131 3710.903075279 5498.386402983 6.000000000 6.000000000 6.000000000 31172.000000000 29373.074457572 32970.925542428	23.448720000 -1.298427425 48.195867425
118 1470624.803131991 1467077.406818621 1474172.199445361 4814.341247567 3887.325203159 5741.357291975 6.000000000 6.000000000 6.000000000 31559.000000000 30594.789559070 32523.210440930	48.460575000 45.829810497 51.091339503
127 1472128.190993292 1468590.468190644 1475665.913795940 4798.704299935 3844.778426510 5752.630173360 6.500000000 5.934197020 7.065802980 32550.000000000 31055.544020322 34044.455979678	92.458500000 89.805669868 95.111330132
136 1473301.643835616 1469773.918616038 1476829.369055194 5138.054797209 4101.518679313 6174.590915105 7.000000000 7.000000000 7.000000000 33871.000000000 32803.500315192 34938.499684808	93.525925000 91.674949110 95.376900890
145 1473609.955746577 1470097.823260526 1477122.088232628 4337.617429299 3397.375277107 5277.859581491 8.000000000 8.000000000 8.000000000 32838.000000000 31082.527009380 34593.472990620	91.636675000 90.301920038 92.971429962
154 1473227.883063234 1469700.433625107 1476755.332501361 4743.705742569 3803.848037698 5683.563447440 7.750000000 7.260000000 8.240000000 34243.000000000 33309.319004086 35176.680995914	94.165325000 92.850615645 95.480034355
