1 387.441250000 382.892548398 391.989951602 2.449103500 1.955820718 2.942386282 0 0 0 3258.000000000 3255.736787017 3260.263212983 0 0 0
10 731.865100671 723.015678328 740.714523014 84.402220300 66.440462179 102.363978421 8.000000000 8.000000000 8.000000000 32568.000000000 32560.843091939 32575.156908061 .666666750 .435677612 .897655888
19 1042.795500161 1032.454904867 1053.136095455 126.444992078 109.692828966 143.197155190 15.250000000 14.760000000 15.740000000 61084.000000000 59518.599154211 62649.400845789 32.258750000 32.096008025 32.421491975
28 1051.526240674 1041.020902937 1062.031578411 63.701892526 52.255404765 75.148380287 21.000000000 21.000000000 21.000000000 87998.000000000 85138.098275629 90857.901724371 54.122025000 53.886876048 54.357173952
37 1062.015987055 1051.586715372 1072.445258738 36.340506452 28.729069212 43.951943692 26.000000000 26.000000000 26.000000000 108486.000000000 102977.492383208 113994.507616792 65.202700000 65.145691286 65.259708714
46 1146.368507560 1133.533837149 1159.203177971 24.881451184 19.649651722 30.113250646 32.750000000 32.260000000 33.240000000 137400.000000000 133474.245743403 141325.754256597 72.445650000 71.439475835 73.451824165
55 1090.878353856 1080.940409549 1100.816298163 14.352713181 11.020404884 17.685021478 38.500000000 37.934197020 39.065802980 156707.000000000 153300.963791855 160113.036208145 76.621250000 76.501245009 76.741254991
64 1109.588147668 1099.601237513 1119.575057823 11.335396718 8.125175805 14.545617631 44.000000000 44.000000000 44.000000000 176402.000000000 172143.765388396 180660.234611604 79.895850000 79.840716835 79.950983165
73 1131.743717616 1120.850414353 1142.637020879 9.057065085 5.617635035 12.496495135 50.750000000 50.260000000 51.240000000 208921.000000000 203629.510713533 214212.489286467 82.374425000 82.337901096 82.410948904
82 1152.490206851 1142.962945124 1162.017468578 5.149139067 3.690347055 6.607931079 58.750000000 55.320000000 62.180000000 231422.000000000 226089.056941814 236754.943058186 84.278450000 84.228306933 84.328593067
91 1171.187451487 1161.652195568 1180.722707406 6.570048546 4.876540695 8.263556397 64.000000000 63.199833151 64.800166849 255516.000000000 250309.204018747 260722.795981253 85.842500000 85.760894770 85.924105230
100 1172.546863828 1163.215488381 1181.878239275 7.134995120 5.520591223 8.749399017 71.250000000 70.311721265 72.188278735 276102.000000000 252933.334744589 299270.665255411 87.429175000 86.876978263 87.981371737
109 1218.300421667 1208.282217261 1228.318626073 6.819509855 5.196225729 8.442793981 79.000000000 79.000000000 79.000000000 295762.000000000 271839.924402517 319684.075597483 88.214825000 88.189213418 88.240436582
118 1220.914281098 1211.844516904 1229.984045292 5.944829165 4.505551552 7.384106778 88.250000000 83.165635047 93.334364953 255014.000000000 90247.984681566 419780.015318434 89.071325000 89.026975264 89.115674736
127 1296.285225347 1281.690384372 1310.880066322 21.964223183 18.020772721 25.907673645 95.500000000 91.704476321 99.295523679 273395.000000000 96788.558392377 450001.441607623 90.318250000 89.900905751 90.735594249
136 1235.964969450 1226.318383930 1245.611554970 12.240246073 9.167905237 15.312586909 103.750000000 100.935164304 106.564835696 295367.000000000 104522.279727898 486211.720272102 90.974275000 90.236798467 91.711751533
145 1329.202348877 1314.605899108 1343.798798646 18.787155289 13.756869315 23.817441263 112.000000000 109.882957964 114.117042036 314953.000000000 110764.133072563 519141.866927437 91.681025000 90.600704009 92.761345991
154 1283.198354047 1273.997403767 1292.399304327 13.066856168 10.088256322 16.045456014 119.500000000 118.234825315 120.765174685 322910.000000000 112727.000476668 533092.999523332 91.945350000 91.419631378 92.471068622
